Investor Name,Focus Area
Apollo Global Management,"Private Equity firm focused on Financials and Consumer Discretionary sectors. Portfolio includes Aspen Insurance (specialty insurance and reinsurance) and Phoenix Education Partners (adult higher education and career-relevant learning)."
KKR & Co.,"Diversified Private Equity investor in Healthcare, Technology, and Industrials. Portfolio includes BrightSpring Health Services (home and community-based healthcare), OneStream (finance platform for CFOs), and NIQ (consumer intelligence and analytics)."
Sequoia Capital,"Venture Capital firm focused on Technology and Financials. Portfolio includes Figma (cloud-based design and product development platforms) and Klarna (global commerce network, payments, and BNPL solutions). Interested in software, AI, and fintech."
Andreessen Horowitz (a16z),"Venture Capital firm with a strong focus on Healthcare, Biotech, and Technology. Portfolio includes BioAge Labs (metabolic aging therapeutics), CAMP4 Therapeutics (regulatory RNA-based therapeutics), and Omada Health (virtual chronic condition management)."
Third Rock Ventures,"Healthcare and Biotech specialist. Focuses on discovering and developing companies in precision medicine and CNS disorders. Portfolio includes Maze Therapeutics (genetic drivers of disease), Rapport Therapeutics (neurological disorders), and Septerna (GPCR oral small molecule drug discovery)."
RA Capital Management,"Biotech and Healthcare investor focused on oncology, autoimmune, and rare diseases. Portfolio includes Artiva Biotherapeutics (NK cell therapies), Bicara Therapeutics (bifunctional antibodies for solid tumors), and Sionna Therapeutics (cystic fibrosis treatments)."
Blackstone Group,"Private Equity and Asset Management focused on Industrials, Infrastructure, and Insurance. Portfolio includes Legence (mission-critical systems for buildings/data centers), Loar Holdings (aerospace and defense components), and Hamilton Insurance Group."
Arch Venture Partners,"Venture Capital firm focused on life sciences and biotechnology. Portfolio includes Boundless Bio (ecDNA-directed therapeutics for cancer), Metsera (obesity and metabolic diseases), and Fractyl Health (metabolic therapeutics for diabetes)."
Fidelity Investments,"Diversified investor in Technology and Healthcare. Portfolio includes Astera Labs (semiconductor connectivity for AI/Cloud), Heartflow (AI diagnostics for coronary artery disease), and Circle Internet Group (stablecoin and blockchain infrastructure)."
General Catalyst,"Venture Capital firm focused on Healthcare and Fintech. Portfolio includes Circle Internet Group (blockchain financial systems) and Fractyl Health (metabolic therapeutics). Interested in digital health and crypto-economy infrastructure."
Bain Capital,"Private Equity investor in Technology and Healthcare. Portfolio includes Waystar (healthcare payments software) and Heartflow (AI-driven cardiac diagnostics). Focus on mission-critical software and medical technology."
Trive Capital,"Private Equity focused on Industrials and Aerospace. Portfolio includes Karman Holdings (mission-critical systems for missile, defense, and space programs). Interested in vertically integrated manufacturing and defense technology."
Thoma Bravo,"Private Equity firm focused on Software and Technology. Portfolio includes SailPoint (identity security solutions for enterprises). Interested in cybersecurity, identity management, and SaaS platforms."
Lightspeed Venture Partners,"Venture Capital firm focused on Enterprise Technology and Security. Portfolio includes Rubrik (Zero Trust Data Security and cyber resilience) and Netskope (cloud security and SASE). Interested in cybersecurity and cloud infrastructure."
OrbiMed Advisors,"Healthcare dedicated investor. Portfolio includes ArriVent Biopharma (oncology and EGFR inhibitors), MBX Biosciences (peptide therapies for endocrine/metabolic disease), and Upstream Bio (inflammatory diseases). Focus on biopharma and medical innovation."
5AM Ventures,"Early-stage Life Sciences and Biotech investor. Portfolio includes Artiva Biotherapeutics (off-the-shelf cell therapies) and CAMP4 Therapeutics (RNA actuating platform). Focus on next-generation biological platforms."
New Enterprise Associates (NEA),"Global Venture Capital firm. Portfolio includes MBX Biosciences (precision peptide therapies). Interested in biopharmaceuticals, digital health, and technology innovation."
Deep Track Capital,"Biotech investor focused on neuropsychiatric and metabolic conditions. Portfolio includes LB Pharmaceuticals (schizophrenia and bipolar treatments) and Septerna (GPCR drug discovery)."
Index Ventures,"Venture Capital firm focused on Creative and Enterprise Software. Portfolio includes Figma (collaborative interface design). Interested in product-led growth companies and SaaS platforms."
Flagship Pioneering,"Life Sciences innovation enterprise. Creates and funds companies with novel biological platforms. Focus on RNA, protein engineering, and transformative biotech."